epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.527,1.39868,1.90731,1.12063,0.83604,0.64791,0.72111,0.44157,1.38781,1.31481,1.05675,0.000648649,0.000648649,0.000648649
2,337.946,1.37936,0.89348,1.12493,0.89793,0.71821,0.77613,0.49484,1.26078,0.9357,1.00934,0.00128927,0.00128927,0.00128927
3,506.148,1.30678,0.82611,1.09183,0.8608,0.72197,0.75528,0.46248,1.27494,0.88099,1.01076,0.0019035,0.0019035,0.0019035
4,672.783,1.27536,0.78979,1.0789,0.90884,0.76566,0.79876,0.50634,1.24335,0.79249,1.05707,0.0018812,0.0018812,0.0018812
5,816.872,1.2366,0.75475,1.06933,0.90339,0.75306,0.79656,0.51586,1.18677,0.75877,0.9949,0.0018416,0.0018416,0.0018416
6,959.106,1.21491,0.71841,1.05888,0.9219,0.77706,0.80814,0.53136,1.20133,0.70823,1.01436,0.001802,0.001802,0.001802
7,1121.41,1.2176,0.70608,1.05947,0.90378,0.77014,0.8031,0.52912,1.19292,0.74321,1.02309,0.0017624,0.0017624,0.0017624
8,1292.39,1.18388,0.68585,1.04838,0.90554,0.77108,0.80425,0.53131,1.16936,0.76721,1.01321,0.0017228,0.0017228,0.0017228
9,1441.91,1.22542,0.68271,1.07304,0.89629,0.75224,0.7954,0.52515,1.14304,0.69777,1.00476,0.0016832,0.0016832,0.0016832
10,1585.78,1.15427,0.64188,1.04853,0.92457,0.78667,0.82011,0.56311,1.09736,0.64757,0.99107,0.0016436,0.0016436,0.0016436
11,1731.75,1.135,0.62205,1.04349,0.93126,0.75774,0.80207,0.52378,1.26266,0.6628,1.03448,0.001604,0.001604,0.001604
